#,ts_us,dur_us,stream,kernel_short,kernel_full
24,536435400455.925,2.432,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
25,536435400458.677,11.137,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 6144u, 2048u, 128u, 64u, 128u, 1u, 128u, 128u, 128u, 7u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
26,536435400469.782,6.753,8364,allreduce_fusion,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
27,536435400476.855,2.4,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
28,536435400479.543,10.016,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 512u, 6144u, 128u, 16u, 128u, 1u, 128u, 128u, 32u, 11u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
29,536435400490.039,3.169,8364,act_and_mul,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)"
30,536435400493.656,2.016,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
31,536435400496.152,4.064,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 6144u, 256u, 128u, 64u, 128u, 1u, 128u, 128u, 128u, 7u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
32,536435400546.46,1.984,8364,elementwise,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)"
33,536435400548.444,6.721,8364,allreduce_fusion,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
34,536435400555.485,2.56,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
35,536435400558.557,21.186,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 2624u, 6144u, 128u, 32u, 128u, 1u, 128u, 128u, 64u, 10u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
36,536435400580.606,2.593,8364,RMSNormKernel,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
37,536435400583.711,2.208,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
38,536435400586.367,9.985,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 2048u, 2048u, 128u, 16u, 128u, 1u, 128u, 128u, 32u, 11u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
